Gold Standard ID,Language,X,text,user_name,user_id,label,English translations
gs37,Kiswahili,5640,"@Joe_munene1 @KBonimtetezi Mule Nation rebellion Loading....""Usituaibishe... Wacha wageni waende... nitawaona baada… https://t.co/V6jtBoAaYv",Joe Arumba,1009526028828540928,hateful,
gs38,Kiswahili,7815,Hio nywele ya masai haiwezi kosa living animals,DJ Rock ™,770212381817536512,hateful,
gs39,Kiswahili,5695,"@myloxylotianess @kipmurkomen Kwani Kuna shida??
Jaluo jeuri (j.j)",Politics,1483229079025467399,hateful,
gs40,Kiswahili,1485,@LonguraA @susankihika Mganga yeye ndo alikuganga huwezi oa unawacha kila mara umeoa Wanamaker wanakutotoka?,Wycliffe Adero,2173129024,hateful,
gs41,Kiswahili,5938,@kipmurkomen Wakenya apana wajinga,Mbûrû🇰🇪,759452460515811328,hateful,
gs42,Kiswahili,7322,@nickfanaka @MumbiMbui @MillicentOmanga Misusing non-Kalenjin women...,Dawood Idenya,431675871,hateful,
gs43,Kiswahili,4912,@MillicentOmanga Kabisa #KenyaKwanza,Jacob Mulati,1490613165989707776,hateful,
gs44,Kiswahili,2630,"@NahashonKimemia Kusema aneza mzaa ni ukweli, hata wewe anaeza kuzaha, na unajua anapenda wanawake.",Proff🇰🇪,916855903,hateful,
gs45,Kiswahili,5276,"@MillicentOmanga It's only kina kips,,,wale watu hawawezi funga mdomo😜",Kevo Baithili,1463903425087905801,hateful,
gs46,Kiswahili,7683,Inawezekana 🔔🔔🔔🔔,Xavier Tunduli,439924366,hateful,
gs47,Kiswahili,6254,🧐🙄🤔 Mombasa ni chafu mbaya mbaya manze,Prof. Odero,807820733728624640,hateful,
gs48,Kiswahili,3726,@ledamalekina Naona sasa huyu ameanza kufikiria na ass🤦,Eric,3154998775,hateful,
gs49,Kiswahili,4883,"@limousine09 @MumbiMbui @KBonimtetezi @Cleophasmalala You know Kenyans, tuna penda wale wabaya. That's why people w… https://t.co/PCFxoWOEUD",Alex,34875083,hateful,
gs50,Kiswahili,10625,@MikeSonko Wewe ni nyani when it comes to Asian land grabbing.. Lakini tuliachia Mungu...,Man njenga,2413099043,hateful,
gs51,Kiswahili,5122,@Wetangulam @MaithaKarisa Pole sana fam. KenyaKwanza!,Mau_Mau_Historian,1423931737374068740,hateful,
gs52,Kiswahili,7853,"@MillicentOmanga Surely kisii na western ndo mahali uwa mnaenda hamchoki,ata mnaboo no ideas",Tonya,1295665703299756032,hateful,
gs53,Kiswahili,3565,@Sam81794997 @kevinkimanthi @737ng2 @MikeSonko iba pia wewe ujenge ndio uache makasiriko,morris muinde 🇰🇪🇬🇧✳️,3334203688,hateful,
gs54,Kiswahili,9845,@KBonimtetezi @UDAKenya You and women!...acha tu!🤣,parassis otieno,1233484609,hateful,
gs55,Kiswahili,9094,@KBonimtetezi @UDAKenya Wewe ni kupewa pewa tu!! Mbekhu mbekhu type!,Ifedha Aggrey,1415533245324746759,hateful,
gs56,Kiswahili,593,@erotica254 @MoiGideon @skmusyoka huyu ni traitor anawork na wazungu kama Babake,Odhiambo Johnke,1452006842159218689,hateful,
gs57,Kiswahili,4697,@MillicentOmanga Sasa wewe uko sure utapata women rep hapa Nairobi.. Hahaaa tunakungoja sana kiongozi..,Oudia Bernard,1470264918209347588,hateful,
gs58,Kiswahili,4911,@mamangilu @RailaOdinga @makaumutua Jenga bridge uache kuzurura na wanaume,bernard,276987560,hateful,
gs59,Kiswahili,7621,@matesobilachuki @Gmanoti @Prekyjay11 @OleItumbi @UDAKenya @susankihika Sasa wewe are not even a voter there.....enyewe jaluo ni jaluo 🤣🤣🤣,kevin.,1415206155874357250,hateful,
gs60,Kiswahili,7765,@ledamalekina @RailaOdinga #KenyaKwanza,Felly_slimdddy,3671331135,hateful,
gs61,Kiswahili,1728,"@MikeSonko Tumezoea Bamburi sijui kama uko pesa yetu tutashiba,",🅱️IN Ⓜ️🅾️SES,1341293095137255430,hateful,
gs62,Kiswahili,4385,@MillicentOmanga What language does most of those who have resigned speak ukabila ita waua nyinyi watu wa Kenya kwisha,Andere David,1442741214550413318,hateful,
gs63,Kiswahili,6106,@Cleophasmalala @RailaOdinga mjaluo mjinga...umesaliti wajaluo wewe ata si mluyha...fala hii,Glenn Damian,1441427313397157896,hateful,
gs64,Kiswahili,9866,"@MigunaMiguna @HassanAliJoho @WilliamsRuto Wewe unabweka nje ya country,rudi Kenya tukujue bac n huyo Ruto wako",Michael Otieno,1486970580159062016,hateful,
gs65,Kiswahili,3613,"@mamangilu @RailaOdinga @makaumutua Hata msipopiga kura, ukambani haina impact yoyote Kenya 2m votes na mko na kelele as if mko 10m🤣🤣🤣🤣",Kim kimutai,1392777353017937922,hateful,
gs66,Kiswahili,4688,"Kwa ground vitu ni noma .....malala anabembeleza watu wasimuaibishe...hehehehehe
@KBonimtetezi @EtalePhilip… https://t.co/lteFT8Xdl1",thekoinkolekta,1379360848653774849,hateful,
gs67,Kiswahili,3649,"@anc_party Mtaisha mrukeruke tu hapa na pale kazi yenu ni kuchezea wakenya,lakini kelele za chura haiwezi zuia ngom… https://t.co/JPYsG5weiP",egialan robert,1463269247774248965,hateful,
gs68,Kiswahili,683,@MoiGideon Wewe ndio ulifanya Egypt ishindwe. Ni heri hata ungenyamaza.,PATRICK,985019000,hateful,
gs69,Kiswahili,2842,@mithika_Linturi @DagaDosal kenyakwanza,𝐎𝑳𝑬𝑿 𝐵𝐵𝑊ʰᵘⁿᵗᵉʳ🇰🇪🔞,1403775813900701697,hateful,
gs70,Kiswahili,8667,@WilliamsRuto @MillicentOmanga @KIMANIICHUNGWAH UDA ni chama kubwa ya wakenya wote,TR Pchiroi Joseph,1229039235153432576,hateful,
gs71,Kiswahili,454,@Cleophasmalala @RailaOdinga Ati MUST....wewe ni kaa Ruto alikukalia Uji moto baada ya kukujengea Nyumba .Shenzi sana,Philip Wameyo,1414675156677574667,hateful,
gs72,Kiswahili,5919,#KenyaKwanza #MzeeWanyororo,simonkioko,1489603440799989760,hateful,
gs73,Kiswahili,284,@GunnerAfrican @MoiGideon Uko na ujinga!!!Watu wako Egypt na wewe ni kiherehere ya siasa hapa?,Paul Kimotho,1158363697380810754,hateful,
gs74,Kiswahili,940,@NahashonKimemia 🤣🤣🤣🤣🤣🤣🤣,EL Patrón,1303379743,hateful,
gs75,Kiswahili,418,"@MoiGideon @skmusyoka Mheshimiwa, waarabu watushindi bwana.",Ibrahim Mahmoud,237696602,hateful,
gs76,Kiswahili,5543,@EnockTom @kiplangatLedama @MillicentOmanga Enda ujifunze kutype kwanza ndio urudi ujibizane na wasomi social media. Puga,Hon Gordon Naya,1856291096,hateful,
gs77,Kiswahili,6114,Sultan..to Ruto..kama ni noma wacha iwe noma kama mbaya mbaya..kwani iko nini?,Jack Sayiore,1155436083875913728,hateful,
gs78,Kiswahili,9647,@jokaokona @TheStarKenya @Wetangulam Lol siasa ya wabukusu na watachonyi  unaijua kweli ? Weta wins this one with a… https://t.co/TiCXUgSdZz,Chase.Chase,1735293638,hateful,
gs79,Kiswahili,1587,@lofula2 @AnneWaiguru Ushenzi! Visi kirinyaga see what she has done... Ujinga ya kuwa mjaluo you only gives good co… https://t.co/KiNaqNrtpO,Gevo Accord,908248721917431814,hateful,
gs80,Kiswahili,3142,@NahashonKimemia 🤣🤣sasa editors wakitoa insults ni corruption 🙆🙆 mko na ujinga..,Mnyika Petro,2663247806,hateful,
gs81,Kiswahili,1512,@MoiGideon Na ni kama bet zako zinaungua...😂😂sasa umefanya watu washuku azimio,Newty,1381298579512422414,hateful,
gs82,Kiswahili,3993,Achana na huyu mzee wamanywele...Akili ilienda kwao..,silas karal,3709490895,hateful,
gs83,Kiswahili,5001,@Cleophasmalala Hawajakuaibisha😆😆😆😆,Leboy 🇰🇪,846351683206762497,hateful,
gs84,Kiswahili,2540,@MoiGideon Wekea tu kichwa yako pekee after all ni Yako,AMOS RONO,2344829435,hateful,
gs85,Kiswahili,3784,@ledamalekina Kutoka uweke rasta kichwa yako ilikosa tu kazi hivo.,Nissan Takumi,401285636,hateful,
gs86,Kiswahili,489,"@MoiGideon We mefi, una support Muarabu badala ya mwafrika mwenzako",Christopher Muriuki,1438737883238653953,hateful,
gs87,Kiswahili,10565,@papawilis @UDAKenya 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,My Name Is,615007166,hateful,
gs88,Kiswahili,6113,"@EngnrDan @HassanAliJoho Mbaya na nani sasa na watu wa Mombasa hawana maji ya mfereji,taka zimejaa kila mahali,watu… https://t.co/8ZVtFgZSnl",Elvis Nyambu,4735328493,hateful,
gs89,Kiswahili,1260,@MoiGideon Wale waliweka Egypt kichwa🤣 endeni mkunywe supuu🤣kichwa imeivaa🤣,Calvin Edwin,1229342719815946240,hateful,
gs90,Kiswahili,242,@MoiGideon Kiongozi punch nirisk na Egypt 😅,Ruto Kityo,1297544551192821763,hateful,
gs91,Kiswahili,773,@HassanAliJoho mbona mwatesa wakaaji wa Mombasa na hii traffic rule!? Wamekosea wapi!!!,Uchiha Wabi Sabi,81396873,hateful,
gs92,Kiswahili,4025,"@ledamalekina Muelewe tuu, masai huwanga na weakness",james achoka,1338032340086435841,hateful,
gs93,Kiswahili,8275,@SABINACHEGE @RailaOdinga @RailaTosha2022 @ledamalekina nyani ni wale wale @TheODMparty has metamorphosis to… https://t.co/h9OLnewxxP,#PowerOfHandshake/ImpunityMustEnd,921081045956616193,hateful,
gs94,Kiswahili,4609,@juliusmuchokinj @ledamalekina Wewe rudi tu shimo umetoka pole pole hutapata hiyo attention hapa.,Kip,1145995801052811264,hateful,
gs95,Kiswahili,9182,@ledamalekina @RailaOdinga Thank you @MusaliaMudavadi kiburi ya hawa watu wa Tinga itaisha. You locked western. https://t.co/Ck6iblxlRH,Senior Mwana O Karuti,889126472,hateful,
gs96,Kiswahili,1590,@joel_oyieko @MikeSonko We unamiss aje mwanamme?,Shikoshe,4857929217,hateful,
gs97,Kiswahili,2031,"@NahashonKimemia Wameshidwa kuomba wakenya kura sasa wanataka tushindane matusi, but UDA tutawatumia Duale, Sudi na Rigathi watajua hawajui",Dennis Gikunda,1313757749617061893,hateful,
gs98,Kiswahili,409,@susankihika Ukimwona mwengine akiita mwezake mganga jua yeye ndio mganga,Victor Otieno,1178038561226002435,hateful,
gs99,Kiswahili,5610,"@mamangilu @RailaOdinga @makaumutua For you to avoid EACC you must shout Ruto ni mwizi, anyway jibambe",David Nderitu,1440280691409780736,hateful,
gs100,Kiswahili,5100,@mamangilu @RailaOdinga @makaumutua Mama inuka ukathumue we na uachane na Ruto kabisa.,Rose Muema,1476062078238666756,hateful,
gs101,Kiswahili,5823,"RT @PierreTole: Nairobi ni @HonTimWanyonyi na Westlands ni @CeciliaMbati 

#NairobiImeamua https://t.co/HWGxk1WL03",maghenyi,1482680409855258632,non-hateful,
gs102,Kiswahili,7940,"RT @LenonRotich: This race gonna be like Marathon
#Kivumbi2022 kati ya @Johnlonyangapuo (Azimio) &amp; former Govenor Simon Kachapin (Kenya Kwa…",Cornelius okwara,1464177596594368512,non-hateful,
gs103,Kiswahili,3984,RT @Daisykenyan: @anc_party Kenya kwanza is unstoppable #EarthquakeInKakamega https://t.co/fAdmZe1noe,Uchumi Kwanza,1397415311964622849,non-hateful,
gs104,Kiswahili,10275,"RT @AzimioTv: Ugunja, #AzimioMtaaniSiaya https://t.co/Ed4IpN95BB",Team Opiyo Wandayi,1052137535915343872,non-hateful,
gs105,Kiswahili,151,"RT @Hon_Kagesi: Asante sana Vihiga 

Kenya Kwanza 
#EarthquakeInVihiga https://t.co/kWC9rKnsH8",Kevin Kahi,1043353573118095360,non-hateful,
gs106,Kiswahili,5655,RT @RasangaGov: #Inawezekana #AzimioLaUmoja #AzimioLaSiaya @TheODMparty @RailaOdinga @GovWOparanya @NdirituMuriithi @HassanAliJoho https://…,dancan mumbo,2525040894,non-hateful,
gs107,Kiswahili,3977,@anc_party Kenya kwanza is unstoppable #EarthquakeInKakamega https://t.co/fAdmZe1noe,Daisy_k⚡️™️🇰🇪,1140844006697512960,non-hateful,
gs108,Kiswahili,888,RT @Daisykenyan: @anc_party Busia for Kenya kwanza #EarthquakeInBusia https://t.co/lhNxKnQnCC,Daisy_k⚡️™️🇰🇪,1140844006697512960,non-hateful,
gs109,Kiswahili,10140,"@KBonimtetezi @UDAKenya Enjoy the video 😋😋
https://t.co/yoZfJsUA9D",Kiki Preza,756176596411768832,non-hateful,
gs110,Kiswahili,8575,"RT @gladyswanga: Isibuye, Hamisi, Chavakali. Asanteni sana for the love #AzimioLaUmoja #Inawezekana https://t.co/APKoOrJyR4",Lillian London,1230464601629904899,non-hateful,
gs111,Kiswahili,2309,#mamanakazi #bishopwanjiruforgovernor #NairobiImeamua #nairobimpya @citizentvkenya @citizentvkenya @WilliamsRuto… https://t.co/aFfXozLaH3,Nickson Kibet,938075633682395138,non-hateful,
gs112,Kiswahili,7572,"RT @HonKathambi: Karibu Njoro @WilliamsRuto @MusaliaMudavadi and @Wetangulam 

#EarthquakeinNakuru https://t.co/AzyjSxLdk0",Dynasty family 🚁🚁 🇰🇪,1431245259493814272,non-hateful,
gs113,Kiswahili,10614,RT @WaremboRao: Tuko ndani na @Hon_FatumaGedi https://t.co/j8oZ9bYBWX,JApolo,2352991452,non-hateful,
gs114,Kiswahili,5651,RT @RasangaGov: #inawezekana #RadaNiRao #AzimioLaSiaya #AzimioLaUmoja @TheODMparty @RailaOdinga @JamesOngwae https://t.co/puizFBHQIh,Fred Oteng'o,240190399,non-hateful,
gs115,Kiswahili,2313,"@BishopWanjiru #formnibtmupnamama
#bishopwanjiru #NairobiImeamua #mamanakazi @citizentvkenya @BishopWanjiru… https://t.co/nA5ZsE7JFa",Nickson Kibet,938075633682395138,non-hateful,
gs116,Kiswahili,7268,RT @EKmwanzo: @MillicentOmanga Jeshi kubwa is in Nyamira #EarthquakeInNyamira and Kisii today #EarthquakeInKisii https://t.co/LmiXOFtVs8,Juma meshack,1426680730625749003,non-hateful,
gs117,Kiswahili,6994,RT @johnjira6: @Mpzuleikahassan the incoming Kinango Mp ☑️ 09/08/2022🙏🙏 https://t.co/ZC0T6L20kk,Zuleikha Juma Hassan,1488536312,non-hateful,
gs118,Kiswahili,9708,RT @UDAKenya: Kenya Kwanza Nakuru County edition https://t.co/utBVSoC8tZ,Nicholas k Ngetich,1095918686,non-hateful,
gs119,Kiswahili,148,"Asante sana Vihiga 

Kenya Kwanza 
#EarthquakeInVihiga https://t.co/kWC9rKnsH8",Hon. Ernest Kivai Ogesi KAGESI,919083990753169408,non-hateful,
gs120,Kiswahili,8568,"Isibuye, Hamisi, Chavakali. Asanteni sana for the love #AzimioLaUmoja #Inawezekana https://t.co/APKoOrJyR4","Hon Gladys Wanga, CBS",78027558,non-hateful,
gs121,Kiswahili,8907,"#sabina chege
#zouma
@kipmurkomen 
#uhuru
#EarthquakeInKisii https://t.co/eD4mu93YCW",Shaddy,1316041852483665925,non-hateful,
gs122,Kiswahili,9757,@AbabuNamwamba @TheODMparty Sabina chege #EarthquakeInKisii https://t.co/ZNCgZLyGOZ,Njuguna Kamau,1491042925677060099,non-hateful,
gs123,Kiswahili,10880,RT @gladyswanga: Nyote mwakaribishwa #Genowa #GovernorWanga https://t.co/lsJUciRDYd,Lillian London,1230464601629904899,non-hateful,
gs124,Kiswahili,1625,"Azimio la kenya kwanza' 😂😂😂 Uyu atapata ticket ya @UDAKenya kweli,
Xiaomi Atomic Habits #EarthquakeInBusia Raila O… https://t.co/rRMbRVFnAr",Abdiaziz Hashim,3424345095,non-hateful,
gs125,Kiswahili,98,@HonKangata @WilliamsRuto angalia mliyemnunua? 😂🤣🤣💙❤️💙❤️💙❤️💙❤️💙❤️ https://t.co/dSVFI3Nnmz,Independent blogger(Deep state),36939815,non-hateful,
gs126,Kiswahili,3972,"RT @anc_party: Kenya Kwanza, In Shinyalu, Kakamega County

#EarthquakeInKakamega
#KaziniKaziPesaMfukoni

https://t.co/qDjpkIvWsc",Mbera Eugene,1463003633985933316,non-hateful,
gs127,Kiswahili,7040,Kenya #254 #VIBESCENTRAL #Game21 https://t.co/KQlyYuZ4HN,Vibes Central,2524922114,non-hateful,
gs128,Kiswahili,7306,"RT @revolutionery21: @MillicentOmanga Kenya Kwanza, Uchumi Bora Pesa mfukoni,
#EarthquakeInNyamira",Tuma Kitu🤑,1350532414666395649,non-hateful,
gs129,Kiswahili,5649,#inawezekana #RadaNiRao #AzimioLaSiaya #AzimioLaUmoja @TheODMparty @RailaOdinga @JamesOngwae https://t.co/puizFBHQIh,Gov. Rasanga AMOTH,934311524990095360,non-hateful,
gs130,Kiswahili,876,@anc_party Busia for Kenya kwanza #EarthquakeInBusia https://t.co/lhNxKnQnCC,Daisy_k⚡️™️🇰🇪,1140844006697512960,non-hateful,
gs131,Kiswahili,10410,"RT @sharleen_wambui: Governor  @susankihika apewe yake tano fresh.

#KenyaKwanzaInNakuru
#earthquakeinnakuru 
#RutoTrackRecord https://t.co…",Kipkemoi,520614628,non-hateful,
gs132,Kiswahili,7267,@MillicentOmanga Jeshi kubwa is in Nyamira #EarthquakeInNyamira and Kisii today #EarthquakeInKisii https://t.co/LmiXOFtVs8,Edward  Genesis™,1535707219,non-hateful,
gs133,Kiswahili,5654,#Inawezekana #AzimioLaUmoja #AzimioLaSiaya @TheODMparty @RailaOdinga @GovWOparanya @NdirituMuriithi @HassanAliJoho https://t.co/y4jJzHa0RN,Gov. Rasanga AMOTH,934311524990095360,non-hateful,
gs134,Kiswahili,5341,@MillicentOmanga Na wale wa kuuza na kuenda kupima shuka weston 350 pia,Baba Lao🤽,370556271,non-hateful,
gs135,Kiswahili,5552,"RT @JoshuaMisoko: Tukutane kesho at Etago stadium, South Mugirango na HE @jomingo24 Magara, hosting the DP @WilliamsRuto, and Kenya Kwanza…",Dynasty family 🚁🚁 🇰🇪,1431245259493814272,non-hateful,
gs136,Kiswahili,1087,"RT @anc_party: Kenya Kwanza, In Nambale, Busia County

#EarthquakeInBusia
#KaziniKaziPesaMfukoni

https://t.co/JK8Z3qfcA7",Kuna Nduru Gizani,1380774767909814272,non-hateful,
gs137,Kiswahili,1044,@SpeakerJBMuturi Ndio mkuu anaamka🙌🙌🙌😂😂,M. Brands!,1264598255301791750,non-hateful,
gs138,Kiswahili,7943,@SABINACHEGE @JunetMohamed @HassanAliJoho @kaninikega1 @ledamalekina Hii sasa ndio jubilee yenye inaungana na odm i… https://t.co/A5LlnSrTff,Dennis Muriuki Mati,1405908436009824257,non-hateful,
gs139,Kiswahili,6446,"RT @NicksonKibet11: @BishopWanjiru #formnibtmupnamama
#bishopwanjiru #NairobiImeamua #mamanakazi @citizentvkenya @BishopWanjiru @paulinenjo…",Nickson Kibet,938075633682395138,non-hateful,
gs140,Kiswahili,10820,Ahsante sana wakaazi wa Malava 🙏kwa kujitokeza kwa wingi na kutukaribisha vyema @NabulindoOscar @wamunyinyi… https://t.co/Aby08oXssb,Eugene L. Wamalwa,569014212,non-hateful,
gs141,Kiswahili,8338,"RT @AzimioUmoja: Isibunye-Luanda is lit.

#Inawezekana
#AzimioLaUmoja
#AzimioMovement
#AzimioMtaaniVihiga
@RailaOdinga  @ledamalekina @ htt…",JOSEPH OCHIENG,1011245701077045248,non-hateful,
gs142,Kiswahili,3183,"Good morning kenya 🇰🇪…tumeamka na #babathe5th @RailaOdinga #InawezekanaNaBaba #AzimioLaUmoja 
Story ya hustler imei… https://t.co/dJNpK7m3Ei",EngAzakii Ahmed 🇰🇪,902945389220950017,non-hateful,
gs143,Kiswahili,5753,"RT @anc_party: Kenya Kwanza in Tongaren, Bungoma County 

#EarthquakeInBungoma
#EarthquakeInTransNzoia https://t.co/LEgakPv3TH",Edward  Genesis™,1535707219,non-hateful,
gs144,Kiswahili,906,"#Earthquake Wanaipata . Tuzidi Kumuomba Mungu.🙏🙏🙏🙏
@WilliamsRuto @MusaliaMudavadi @Wetangulam @UDAKenya… https://t.co/miXHYr3mre",Dynasty family 🚁🚁 🇰🇪,1431245259493814272,non-hateful,
gs145,Kiswahili,3057,"@MikeSonko Baaaaass, that's where you belong mkuu, kazi ya ofisi huwes😌😌😌😌",ndugire.roberto,985846308631203840,non-hateful,
gs146,Kiswahili,10174,@gladyswanga Azimio la Umoja legacy https://t.co/rKfGF0yrJ3,John Omondi+254,1317109273181229057,non-hateful,
gs147,Kiswahili,8838,Watanzania wenzangu twende na  katiba mpya #KatibaMpya YA #WenyeNchiWananchi #KatibaMpya #WenyeNchiWananchi… https://t.co/6U2RxKlMzJ,Abdulkarim  Juma,1095033478566080514,non-hateful,
gs148,Kiswahili,8130,Vihiga fomu ni azimio #Inawezekana #AzimioLaUmoja @JunetMohamed @HassanAliJoho @ledamalekina @SABINACHEGE https://t.co/qcVVdtpk3r,DR.ALFRED.LETEMERE,1910442895,non-hateful,
gs149,Kiswahili,3969,"Kenya Kwanza, In Shinyalu, Kakamega County

#EarthquakeInKakamega
#KaziniKaziPesaMfukoni

https://t.co/qDjpkIvWsc",ANC PARTY,3370540217,non-hateful,
gs150,Kiswahili,4024,"RT @AzakiiAhmed: Good morning kenya 🇰🇪…tumeamka na #babathe5th @RailaOdinga #InawezekanaNaBaba #AzimioLaUmoja 
Story ya hustler imeisha, ba…",Vanny,302890665,non-hateful,
gs151,Kiswahili,8331,"Isibunye-Luanda is lit.

#Inawezekana
#AzimioLaUmoja
#AzimioMovement
#AzimioMtaaniVihiga
@RailaOdinga… https://t.co/oW0IjmnDZm",Azimio La Umoja Movement,1419949805397229568,non-hateful,
